,Realized_Vol,PE,Imp_Vol,Short_Int,Beta_Factor,Market_Cap,Op_Margin,Ret_On_Equity,RSI_Momentum,Turnover
A UN Equity,-0.012480952899426034,-0.0001631640747745802,0.0001946116886967604,1.8288492646690952e-10,0.007904520096289743,-2.7283690321668997e-07,-0.00010098168840268524,-0.00030333737376648823,-2.515951161123618e-05,4.440489330885898e-11
AAPL UW Equity,-0.007229544030722155,-0.000186484457372432,1.9542065098664185e-05,-2.840103385642106e-10,0.0052112773181106865,-6.689973439096694e-09,-3.121241115770768e-06,2.795546386793074e-05,4.046943733977789e-05,5.013519802657767e-13
ABBV UN Equity,0.015122306777766345,0.00027059028610675073,7.393503912442062e-05,9.577285731560396e-10,1.879106119752241e-05,-1.2768437565220968e-07,4.953277198585085e-05,3.317500940870198e-06,-1.7819473699473513e-05,-6.370001880028448e-12
ABNB UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT UN Equity,-0.009119447477481243,1.0490121948027475e-05,0.0001307405137146318,2.94975741637559e-09,0.00038130241161048596,-2.9607083255528874e-08,-1.32303954869212e-05,8.186064446755423e-06,-3.2289333696452464e-05,3.3881564379813633e-12
ACGL UW Equity,-0.006941250176297604,9.618071309091134e-05,0.000190026762287156,5.810463523704789e-10,-0.002526993884983844,1.7455995476805717e-07,8.271387907483698e-05,2.40643079461375e-05,-0.00010154111376097674,-2.9211305625107826e-11
ACN UN Equity,-0.019586400085580657,-0.00023051809817837586,0.00037608869350596604,-8.454617015349482e-10,0.008015645212296642,-3.930289688985998e-09,0.0004123237014873296,-0.00014850451493134074,-3.9489675618840944e-05,3.365099472880165e-13
ADBE UW Equity,-0.008414866271262098,-2.5660719054188962e-05,0.00022061285097921932,1.0929125059477494e-09,0.0033575429053735663,9.728994161912165e-08,-0.0001243200136178397,-0.0002038294809661148,-8.96840941221191e-05,-1.8947543416894725e-11
ADI UW Equity,0.013483526166402882,0.00040601621983688544,6.15791171925372e-05,3.6151658573047177e-10,-0.00022839674472595236,-6.221823199835512e-07,6.387085201461901e-05,-6.442744638731647e-05,-6.444251008403778e-05,-3.0581612431737614e-11
ADM UN Equity,-0.0030864883554849462,-0.0003655858804084453,0.0002785646542662453,-2.1804518248827083e-09,0.005754583097468894,8.686266333586939e-08,0.0004653214830660648,-0.0006121426025499591,-3.767567477859683e-05,2.0242563213375187e-11
ADP UW Equity,0.002885230532907597,-0.00011529268170049466,9.229061536651179e-05,-4.3077688557835684e-10,-0.0014766952722935216,1.1974302753335204e-07,-2.233977030400826e-05,0.00013546834303311203,-5.219516641802211e-05,-1.7531391740888467e-11
ADSK UW Equity,0.002116361545143847,-1.9254154921688428e-07,-8.93584874308826e-05,4.2385787598245024e-10,0.006225401396201324,-4.836323096701265e-07,-7.989889658980655e-05,-3.4885907654492685e-05,-7.974844195699917e-06,-1.2790837501558491e-11
AEE UN Equity,-0.0042009366382209316,0.0005809913278443216,0.00012031747261610746,3.861375069964472e-10,-0.0006769172149594337,-1.1780050188800278e-06,7.437731023119644e-05,-1.9202002929627583e-05,-3.3154730065741234e-05,-7.561463664016515e-13
AEP UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AES UN Equity,-0.02319281611838403,-0.00023305744382587736,0.00039087947903894643,7.834925911952554e-11,-0.004939453140268884,-4.907979861528009e-07,0.0005937183207710451,-0.00013259213129086385,-6.314139784602614e-05,-2.350682233509491e-11
AFL UN Equity,-0.028656112469887984,9.28830304669493e-06,0.0004919383678327943,-8.056774973438651e-10,-0.006004258546715595,-7.512832749992452e-07,0.0006570180956323895,0.0006493641180488744,-2.8872792473653056e-05,3.1886212004230495e-13
AIG UN Equity,0.02166241895474794,0.00023804096839359976,-0.00032870908101874515,1.9267171694377255e-10,0.0008764976328278331,1.6734257807574005e-08,4.247353779844848e-07,-6.972979521985464e-05,-1.7876996815843325e-05,-7.204681653459047e-12
AIZ UN Equity,-0.017040034052091067,0.00026874030024474514,0.00024597771797589427,4.226743854264477e-10,0.00021899729360727002,-1.0536941328253784e-06,0.00011845876794907546,2.891622032296496e-05,-5.18886123835069e-05,1.153563677330288e-11
AJG UN Equity,-0.010592658632311297,-0.0003763209173598249,0.00013898504478029202,3.026387507344316e-11,0.011565738133074557,-4.1021280435794175e-07,2.952109759704383e-05,0.00015827434067707612,-4.4366512137995574e-05,3.730621687909108e-11
AKAM UW Equity,-0.0024865745162351476,6.975885151541527e-05,0.00011880465977235292,2.272295357887304e-10,-0.003153969800127638,-6.186328627414677e-07,-0.000507769427014299,0.0017085666737600713,-3.5628456231392426e-05,-2.6635235746582748e-11
