,var,delta_covar,covar_at_var,covar_at_median,beta
Health Care,-0.015827363082641804,-0.013216297032539416,-0.020096111643137248,-0.006879814610597832,0.7938823557456498
Information Technology,-0.01944719219424857,-0.013926242728033705,-0.021033675829509737,-0.007107433101476032,0.6792837654036865
Consumer Discretionary,-0.019197917455238318,-0.013800180920764812,-0.019511010465132348,-0.005710829544367536,0.6929889858368785
Financials,-0.020760018772592204,-0.013746958610438719,-0.019353712149030106,-0.0056067535385913875,0.6374860705520793
Consumer Staples,-0.011576306589558908,-0.012101078921821846,-0.02021691884848614,-0.008115839926664294,0.9942735058969143
Industrials,-0.01742254085775453,-0.015252773552126295,-0.019341516943004514,-0.004088743390878219,0.834815968316903
Utilities,-0.015032288328992517,-0.011171519819509751,-0.021564075682380297,-0.010392555862870545,0.7057256081296372
Materials,-0.018600647434548485,-0.014310515178458036,-0.020101377668472524,-0.005790862490014488,0.7403588253223807
Real Estate,-0.020844311406848927,-0.01261156293226397,-0.0206941482916549,-0.00808258535939093,0.584606272627819
Energy,-0.02343436946653333,-0.010649172794499472,-0.02060873218484461,-0.009959559390345138,0.44063854106072764
Communication Services,-0.01473444375453613,-0.013462185907697096,-0.0207268132461553,-0.007264627338458204,0.8736209685571221
