number,value,datetime_start,datetime_complete,duration,params_d_proportion,params_dropout,params_s_heat,params_spectral_out_dim,state
0,0.5331,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.478,0.094,3.794,14,COMPLETE
1,0.6076,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.12,0.131,0.761,10,COMPLETE
2,0.5312,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.369,0.146,0.593,18,COMPLETE
3,0.5563,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.146,0.036,1.318,22,COMPLETE
4,0.5884,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.286,0.051,2.444,13,COMPLETE
5,0.5447,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.113,0.061,1.815,18,COMPLETE
6,0.5403,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.403,0.082,1.399,15,COMPLETE
7,0.5547,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.071,0.034,3.234,18,COMPLETE
8,0.5002,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.477,0.123,4.845,9,COMPLETE
9,0.5698,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.094,0.072,3.579,13,COMPLETE
10,0.571,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.214,0.111,0.534,8,COMPLETE
11,0.6032,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.285,0.019,2.356,11,COMPLETE
12,0.5813,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.223,0.012,2.399,10,COMPLETE
13,0.5928,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.303,0.141,1.757,11,COMPLETE
14,0.5343,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.19,0.011,4.488,11,COMPLETE
15,0.5498,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.36,0.105,2.869,23,COMPLETE
16,0.5788,2026-05-10 08:40:40.385767,2026-05-10 08:40:40.385767,0 days 00:00:00,0.165,0.127,1.066,8,COMPLETE
17,0.5654172047745117,2026-05-10 08:40:40.577268,2026-05-10 11:35:16.897176,0 days 02:54:36.319908,0.2447360066526042,0.03152720027627379,2.0492387464051722,12,COMPLETE
18,0.5605723527714495,2026-05-10 11:35:16.939314,2026-05-10 13:53:18.759185,0 days 02:18:01.819871,0.3047943777810172,0.09714944789236789,2.8828415595624,17,COMPLETE
19,0.5758561157208596,2026-05-10 13:53:18.785804,2026-05-10 15:04:34.635258,0 days 01:11:15.849454,0.05592952960850314,0.07689431489737705,4.210044205118847,20,COMPLETE
20,0.5944824946909524,2026-05-10 15:04:34.650332,2026-05-10 16:10:42.769130,0 days 01:06:08.118798,0.2637036274801143,0.054560075017473106,1.1370348857672756,15,COMPLETE
21,0.5665111051140741,2026-05-10 16:10:42.787832,2026-05-10 17:41:22.722638,0 days 01:30:39.934806,0.3442258479210886,0.05476884249545014,0.9710892454046445,15,COMPLETE
22,0.5396357248486584,2026-05-10 17:41:22.743073,2026-05-10 19:16:47.812607,0 days 01:35:25.069534,0.24508698356352668,0.0216447853055155,0.9065521261379499,10,COMPLETE
23,0.5261910573445294,2026-05-10 19:16:47.830779,2026-05-10 20:35:25.245200,0 days 01:18:37.414421,0.4167717597069033,0.039382053544066646,1.4364325057756313,13,COMPLETE
24,0.583336915083708,2026-05-10 20:35:25.270278,2026-05-10 22:29:37.888752,0 days 01:54:12.618474,0.14237422716639112,0.06817205388326353,2.167967900576288,11,COMPLETE
25,0.5341581708868409,2026-05-10 22:29:37.916350,2026-05-10 23:53:55.251933,0 days 01:24:17.335583,0.3285007405598747,0.04498851968788345,1.7328950718677705,16,COMPLETE
26,0.6222655900850099,2026-05-10 23:53:55.278674,2026-05-11 00:46:37.871563,0 days 00:52:42.592889,0.2641070933244516,0.08495572862514376,0.7994159793300465,9,COMPLETE
27,0.569631365609415,2026-05-11 00:46:37.892758,2026-05-11 02:26:55.809610,0 days 01:40:17.916852,0.18022342203675482,0.13249140749166963,0.7583265277330443,9,COMPLETE
28,0.56173652588272,2026-05-11 02:26:55.823636,2026-05-11 04:23:48.409550,0 days 01:56:52.585914,0.391200627655883,0.08505425533620277,3.253978814819546,9,COMPLETE
29,0.49654421046359976,2026-05-11 04:23:48.425708,2026-05-11 05:04:05.203638,0 days 00:40:16.777930,0.4304237277445451,0.1119550788631921,3.830724971035183,12,COMPLETE
