number,value,params_dropout,params_encoder_channels,params_gat_num_heads,params_gat_out_features,params_hidden_dim,params_lr,params_num_diffusion_steps,params_patience,params_weight_decay
25,0.5813401205759139,0.3493470796057645,"[16,8,4]",1,8,16,0.00010981684015202463,3,3,2.610062244740269e-06
48,0.5803478453084807,0.3259592180092376,"[16,8,4]",1,8,16,0.00010316139291594759,3,4,2.5943547192754573e-05
46,0.5734474517012185,0.2922950322317912,"[16,8,4]",1,8,16,0.00010402344667749731,3,3,7.696356104478112e-06
12,0.5718199388365272,0.3756958688770406,"[16,8,4]",2,16,32,0.0001174002193003784,4,3,0.0005633843697611192
22,0.5715558085671216,0.2841844650897707,"[16,8,4]",1,8,16,0.00010079109581769207,3,3,1.1341179736186731e-05
16,0.5702367558191668,0.14216497193843772,"[16,8,4]",1,8,16,0.00010442921051768794,4,3,1.042084021408152e-06
9,0.5656507285584493,0.26084130800067556,"[16,8,4]",1,8,16,0.00010924118351371684,3,3,8.030164648270105e-06
40,0.5651150350304093,0.14117561562609535,"[64,32]",1,8,16,0.00021094550149852777,4,3,2.545131067930066e-06
17,0.5639638888027035,0.1347633840202958,"[32,16]",2,16,32,0.00020141273851052773,4,5,5.380501655355099e-05
43,0.5614596247730128,0.21385310706848082,"[32,16,8]",1,8,16,0.00013346064646667692,2,4,4.749375684175669e-06
26,0.5611707648709947,0.3321451652148066,"[16,8,4]",1,8,16,0.0001409355968548164,2,4,1.4449838640669108e-05
49,0.5609720580133312,0.37396073715943945,"[16,8,4]",1,8,16,0.00019279016027295225,3,4,3.5658363204240734e-05
50,0.55479045809598,0.32923314914224455,"[16,8,4]",1,32,32,0.00016471455679650695,3,3,1.6759410186244793e-05
35,0.5541414308441116,0.19258326866855632,"[16,8,4]",1,8,16,0.00010385074707920686,4,4,1.943330301289773e-06
36,0.5535205488651107,0.06959632824742355,"[16,8,4]",1,8,16,0.00013600364590261803,4,3,3.7504102879937563e-06
34,0.5520711060362641,0.17849027737448542,"[16,8,4]",1,8,16,0.0001015004395404439,4,3,1.2182018021076255e-06
